Wavelength (nm);Transmittance(%);Std.Dev.
190;0.0100662496886898;0.00896992008890838
191;0.0100000109795873;0.0180284980770882
192;0.0100000109795873;0.0111049996136243
193;0.0100000878370363;0.00696874649498128
194;0.0100000109795873;0.0103052597488349
195;0.0100000219591867;0.00540502787447606
196;0.0100000219591867;0.0024130042429842
197;0.0100000219591867;0.00170862073859297
198;0.0100000109795873;0.00871815512797398
199;0.0100047662738015;0.0183415834252099
200;0.0100000219591867;0.00556932717095116
201;0.0115454998188237;0.0168553417954261
202;0.0100000109795873;0.0215379837287484
203;0.010021246068551;0.0129970737373021
204;0.0100000109795873;0.00905365186470797
205;0.0100000219591867;0.00988760298798438
206;0.0100000219591867;0.0053723744664709
207;0.0100000109795873;0.00365841677325202
208;0.0100159880581181;0.00565749540307995
209;0.0100000109795873;0.00483949988925826
210;0.0103323308267073;0.00931914055061437
211;0.0107918839655691;0.0198245572787653
212;0.0106068659903964;0.00910813019455095
213;0.0138409143021566;0.00282799413436009
214;0.0118114521563844;0.00299645417678636
215;0.0100000109795873;0.0039568697174587
216;0.0100478423206777;0.00622211029608504
217;0.0100267049975214;0.00399717413800323
218;0.0100000109795873;0.00601538616203529
219;0.0108150380885899;0.00821287547529586
220;0.010908032655991;0.0156192340515933
221;0.0100000109795873;0.00689795331729572
222;0.0100469708217697;0.00795911460811896
223;0.0100000109795873;0.0163174893306381
224;0.0100000219591867;0.0183218502148219
225;0.0100000219591867;0.0357460652119358
226;0.0100000219591867;0.0200841203044245
227;0.0100000219591867;0.0105222111255283
228;0.0100000219591867;0.0163244468593078
229;0.0100000219591867;0.0295507075510973
230;0.0100000219591867;0.0137997329315943
231;0.0100000219591867;0.00227766771619444
232;0.0100000219591867;0.00300062736136198
233;0.0100000219591867;0.00586714010703344
234;0.0100000219591867;0.00503058772353201
235;0.0100000219591867;0.00737781459361734
236;0.0100000219591867;0.0110192631837072
237;0.0100000219591867;0.00682856180710101
238;0.0100000219591867;0.00432133663221401
239;0.0100000219591867;0.00238613781390855
240;0.0100000109795873;0.00421026834889007
241;0.0100000109795873;0.012804113176902
242;0.0100755821707954;0.00618276001976873
243;0.0132821422584648;0.00207297813415493
244;0.0100000109795873;0.00214846267153396
245;0.0104318556389023;0.00322773957345917
246;0.0119528572562994;0.0037669631647542
247;0.0148193222655401;0.00402657112632634
248;0.0188219614178655;0.00960321720281603
249;0.0100000109795873;0.00392382705534213
250;0.0100000109795873;0.00321953491620716
251;0.0114673110698862;0.00432806598487968
252;0.0150792594109291;0.010500599758606
253;0.0100000109795873;0.00477015088609656
254;0.0101312139672256;0.00283354030612165
255;0.0102914357580814;0.00248402312686811
256;0.0143465297852388;0.00215369357983322
257;0.0161080398034638;0.00340167422034246
258;0.0110954529153514;0.00384520945228538
259;0.0100615204067206;0.00260835285701354
260;0.0134966842837182;0.00239020394957673
261;0.0126960937377294;0.00306516189373386
262;0.0100197497846963;0.0028633360225699
263;0.0100000109795873;0.00312088791299285
264;0.0110248866755422;0.00238835538916524
265;0.0112834914546351;0.00169073356146139
266;0.0135940673936428;0.00247028283272155
267;0.0159284221112344;0.00376231347533005
268;0.010879517864886;0.00276679913471294
269;0.0109167430933503;0.00187049558642905
270;0.0172424497307732;0.00289226132072367
271;0.0191771254076461;0.00521919147350855
272;0.0117452527170351;0.00318485869136601
273;0.0258425234466058;0.00359789417130968
274;0.024062275171601;0.00275128252790265
275;0.0256851599086215;0.00273771012383477
276;0.0335358161908982;0.00277871825305655
277;0.0372506292666;0.00220399311586245
278;0.0352239684567646;0.00177925582702979
279;0.0319035503684355;0.00245869335767364
280;0.0524720205259366;0.00236167978477285
281;0.0547123975963407;0.00322807484009154
282;0.0760095978716531;0.00735313791523836
283;0.095240100959265;0.00460791107315919
284;0.156402921672213;0.00449169704090962
285;0.192752211962198;0.00424980079267309
286;0.286983634864447;0.00416703024011291
287;0.410927983088253;0.00374248664077018
288;0.573444034651067;0.00550192533995651
289;0.761029582487989;0.00543575021040233
290;1.06558800010161;0.00462004827233691
291;1.41154872234992;0.00434558865719542
292;1.8457358515618;0.00357304353623495
293;2.38787038762857;0.00553100256328361
294;3.03118999764656;0.00529307908397346
295;3.78297657882902;0.00397798204891805
296;4.65493813742373;0.00718223305567278
297;5.61489304298635;0.00576160931439122
298;6.69432020644416;0.00562169429479763
299;7.91980598087248;0.00836689925108221
300;9.21833609725653;0.00585934215099662
301;10.6226929117492;0.00383130942657765
302;12.1054149028231;0.00508566633126509
303;13.6680307714981;0.00361046793300047
304;15.2992104195165;0.00312431769194789
305;17.0262184902591;0.00434250125333308
306;18.7648455251848;0.00409528648537258
307;20.5687822236402;0.00504602092384136
308;22.3835934695523;0.00585234737057388
309;24.2456071629542;0.00525850724430737
310;26.1038840394994;0.00527003496551114
311;27.96385871998;0.00492668311502025
312;29.8592941021669;0.00532247100808977
313;31.704126994825;0.00405298846674815
314;33.5438809423974;0.00477737717186271
315;35.377646891188;0.0061470475160165
316;37.1652470392624;0.00435716292400976
317;38.941879471632;0.00533917911277889
318;40.6590813761015;0.00756322442534986
319;42.3410317430712;0.00550797678153811
320;44.0366310832835;0.00549622793369624
321;45.6497215953185;0.00675283525212156
322;47.2335516338271;0.00703412184116645
323;48.7592955630784;0.00743587069421916
324;50.2657319313918;0.0094308147981151
325;51.7128235731062;0.00763159006654535
326;53.1452948501556;0.00754990172923752
327;54.534154817504;0.00586848038928582
328;55.8587603471706;0.00595948966752619
329;57.1587784909661;0.00685054075565124
330;58.4153759271302;0.00658450239166818
331;59.6537985788473;0.00834044178728559
332;60.8640553149088;0.00794726026671567
333;62.0062755680481;0.00781189860227044
334;63.1420558387225;0.0083941918118088
335;64.2480421197488;0.00980884259993205
336;65.3093350040163;0.0118253378584708
337;66.3634534534315;0.0113141613857417
338;67.360512111563;0.0111194628784438
339;68.360015217515;0.0101656452795919
340;69.3301083331261;0.00746360116627561
341;70.2430553199179;0.00728382374661581
342;71.1331824092339;0.0153893169339071
343;72.01126122294;0.0178624707213268
344;72.8731302198763;0.0106574791575269
345;73.7346273535543;0.0106060548973675
346;74.5450620299287;0.0115746748643893
347;75.3738381288399;0.0153232946835896
348;76.1577919511098;0.0167361514116598
349;76.9067384382044;0.0161261228130547
350;77.6514542109264;0.0152017749194434
351;78.3710205712223;0.0163889442795668
352;79.0624375081887;0.0179810477175238
353;79.763019487639;0.0206524520710852
354;80.4308553972593;0.0206058937762261
355;81.0284485671113;0.0193900643808125
356;81.658001875376;0.0141308753662055
357;82.2247091676049;0.0126684071257227
358;82.8152601835727;0.0163695094852052
359;83.426355597179;0.0173830000781176
360;84.0008159195401;0.0161409318354194
361;84.5784889699123;0.0154870827791707
362;85.2056824520306;0.0152579138115502
363;85.7332599440737;0.0167353047727423
364;86.1965045333572;0.0192963822473377
365;86.7039385738502;0.0167968605492215
366;87.1738637413301;0.0195339469949811
367;87.6426791080563;0.0156236451002697
368;88.0894458024899;0.0201810563469904
369;88.4721193284868;0.019682991537769
370;88.8512846796979;0.014189473147295
371;89.2444204838423;0.018568920194361
372;89.5960013495652;0.0172390891511301
373;89.9446219340022;0.0141230622202575
374;90.2422684251459;0.0132388842757061
375;90.5510402936219;0.0193465682195231
376;90.8452074576566;0.0237437373447753
377;91.0753090943291;0.0169564747611638
378;91.4101125390359;0.0131546398750038
379;91.6770696463188;0.0214974061027151
380;91.9871148136404;0.0182395790293502
381;92.2176787254514;0.0147236023544345
382;92.5173617674499;0.0171631446890143
383;92.8028353075301;0.0180484076652647
384;93.0660935610526;0.0220544206197244
385;93.3392191136279;0.0242370700166854
386;93.5785146511587;0.0176569509233089
387;93.8371731321246;0.0124693107777346
388;94.0845628969765;0.0155350283120602
389;94.3218338703607;0.0189571160694929
390;94.5382143800419;0.0190696591743395
391;94.6943530760083;0.0205161885432871
392;94.8805389819935;0.0162916291141789
393;95.0840019755193;0.0150025048381973
394;95.2455387359503;0.0139975152486886
395;95.4163591357701;0.0122530366496152
396;95.5895849417362;0.015134405830708
397;95.6740047005429;0.0119142785205373
398;95.7690134739818;0.0162575525886836
399;95.9779645689975;0.0178450020057133
400;96.1013381460178;0.0200173295004437
401;96.1871603392645;0.0145951377313864
402;96.2839472808758;0.0128101572213447
403;96.3742708649511;0.0137261971524049
404;96.4527116214112;0.0147662661115885
405;96.4943397103422;0.0129688509994033
406;96.6202865664667;0.013144273340398
407;96.7244120468367;0.0136807688966503
408;96.7619076848751;0.0126298938019298
409;96.8322644776493;0.0123929770800303
410;96.9019276650485;0.0164674118937375
411;96.9505620421845;0.0192196250505938
412;96.9618461505644;0.0135156051315443
413;97.0178603088085;0.0126847888988328
