# Schott optical glass filter "UG 1"" 1.0 mm thick
# Manufacturer datasheet downloaded on 25.04.2014 from
# http://www.us.schott.com/advanced_optics/english/download/
# Values are for internal transmittance (from tabulated data)
# and "are reference values only"
# Values marked 1.0E-5 are < 1.0E-5 in datasheet
#
w.length Ti
200 1.0E-05
210 1.0E-05
220 1.0E-05
230 1.0E-05
240 1.0E-05
250 1.0E-05
260 1.0E-05
270 2.5E-05
280 3.7E-03
290 4.8E-02
300 1.8E-01
310 3.7E-01
320 5.4E-01
330 6.7E-01
340 7.6E-01
350 8.1E-01
360 8.3E-01
370 8.1E-01
380 6.9E-01
390 4.2E-01
400 1.2E-01
410 1.3E-02
420 6.1E-04
430 2.3E-05
440 1.0E-05
450 1.0E-05
460 1.0E-05
470 1.0E-05
480 1.0E-05
490 1.0E-05
500 1.0E-05
510 1.0E-05
520 1.0E-05
530 1.0E-05
540 1.0E-05
550 1.0E-05
560 1.0E-05
570 1.0E-05
580 1.0E-05
590 1.0E-05
600 1.0E-05
610 1.0E-05
620 1.0E-05
630 1.0E-05
640 1.0E-05
650 1.0E-05
660 1.0E-05
670 1.0E-05
680 1.2E-04
690 4.0E-03
700 4.7E-02
710 1.6E-01
720 2.9E-01
730 3.8E-01
740 4.5E-01
750 4.7E-01
760 4.3E-01
770 3.6E-01
780 3.1E-01
790 2.8E-01
800 2.5E-01
810 2.2E-01
820 1.9E-01
830 1.6E-01
840 1.4E-01
850 1.2E-01
860 1.1E-01
870 9.8E-02
880 8.9E-02
890 8.3E-02
900 7.8E-02
910 7.3E-02
920 6.9E-02
930 6.7E-02
940 6.5E-02
950 6.3E-02
960 6.2E-02
970 6.1E-02
980 6.1E-02
990 6.1E-02
1000 6.1E-02
1010 6.1E-02
1020 6.0E-02
1030 6.0E-02
1040 5.9E-02
1050 5.7E-02
1060 5.6E-02
1070 5.4E-02
1080 5.1E-02
1090 4.9E-02
1100 4.7E-02
1110 4.5E-02
1120 4.3E-02
1130 4.1E-02
1140 3.9E-02
1150 3.7E-02
1160 3.6E-02
1170 3.4E-02
1180 3.2E-02
1190 3.1E-02
1200 3.0E-02
1250 2.6E-02
1300 2.9E-02
1350 3.2E-02
1400 3.3E-02
1450 3.1E-02
1500 3.0E-02
1550 3.2E-02
1600 3.4E-02
1650 3.2E-02
1700 2.8E-02
1750 2.3E-02
1800 2.0E-02
1850 2.2E-02
1900 2.6E-02
1950 3.0E-02
2000 3.6E-02
2050 4.3E-02
2100 5.0E-02
2150 5.9E-02
2200 7.0E-02
2250 8.1E-02
2300 9.5E-02
2350 1.1E-01
2400 1.2E-01
2450 1.3E-01
2500 1.4E-01
2550 1.5E-01
2600 1.6E-01
2650 1.7E-01
2700 1.8E-01
2750 1.5E-01
2800 1.2E-01
2850 1.2E-01
2900 1.3E-01
2950 1.4E-01
3000 1.4E-01
3050 1.4E-01
3100 1.5E-01
3150 1.5E-01
3200 1.5E-01
3250 1.6E-01
3300 1.6E-01
3350 1.7E-01
3400 1.7E-01
3450 1.8E-01
3500 1.8E-01
3550 1.9E-01
3600 2.0E-01
3650 2.1E-01
3700 2.1E-01
3750 2.2E-01
3800 2.4E-01
3850 2.6E-01
3900 2.8E-01
3950 2.9E-01
4000 2.9E-01
4050 2.9E-01
4100 2.9E-01
4150 2.9E-01
4200 2.9E-01
4250 2.9E-01
4300 2.8E-01
4350 2.5E-01
4400 2.2E-01
4450 1.9E-01
4500 1.5E-01
4550 1.1E-01
4600 8.0E-02
4650 5.5E-02
4700 4.0E-02
4750 2.8E-02
4800 2.0E-02
4850 1.4E-02
4900 1.1E-02
4950 8.4E-03
5000 6.3E-03
5050 4.1E-03
5100 2.3E-03
5150 1.2E-03
