# cellulose diacetate "Courtaulds" 0.115 mm thick
# ageing under Q-Panel UVB-313 lamps at 25? cm distance
# exposure time in min: 0, 20, 30, 60, 100, 180, 300
# HP array spectrophotometer (no integrating sphere)
w.length transmittance
250  0.01578	0.01493	0.00768	0.01039	0.0131	0.01218	0.01402
327	78.79691	77.72831	75.81714	74.2263	72.7124	70.58214	69.2129
328	78.86823	77.85934	75.9975	74.44699	73.04672	70.99827	69.68934
329	78.93788	78.00651	76.18815	74.68605	73.40707	71.43412	70.17399
330	79.02113	78.15053	76.35614	74.91881	73.76046	71.85875	70.65673
331	79.08206	78.28038	76.54433	75.1287	74.09634	72.28559	71.12467
332	79.1665	78.41733	76.71749	75.37839	74.44585	72.70362	71.59665
333	79.22911	78.55228	76.90741	75.59836	74.78584	73.13211	72.0732
334	79.30396	78.68918	77.08765	75.82147	75.1188	73.54519	72.54016
335	79.36319	78.80833	77.2315	76.02721	75.44032	73.9442	72.98163
336	79.42804	78.94499	77.40944	76.24187	75.77054	74.34195	73.4319
337	79.48876	79.05428	77.57485	76.44439	76.07714	74.73281	73.87863
338	79.54778	79.17276	77.72746	76.65417	76.39472	75.10692	74.30098
339	79.61104	79.28254	77.88687	76.84698	76.68852	75.48191	74.70853
340	79.65091	79.3916	78.01388	77.02538	76.97145	75.8278	75.10379
341	79.7006	79.48335	78.1435	77.19573	77.22184	76.13714	75.44248
342	79.74034	79.57032	78.25271	77.33757	77.45212	76.42525	75.76089
343	79.79534	79.66368	78.37154	77.48546	77.66655	76.70384	76.0733
344	79.83828	79.75295	78.48021	77.6275	77.88037	76.9635	76.35966
345	79.87721	79.81199	78.56694	77.74692	78.05312	77.18471	76.61597
346	79.91792	79.88265	78.6567	77.84839	78.21268	77.39398	76.86149
347	79.95337	79.95618	78.73429	77.96027	78.36483	77.57536	77.06396
348	79.99096	80.01555	78.81785	78.06152	78.49503	77.75084	77.25406
349	80.02574	80.06037	78.88105	78.13423	78.60818	77.89713	77.41131
350	80.06283	80.12228	78.94464	78.22625	78.7196	78.03512	77.57621
351	80.10064	80.17596	78.9866	78.2974	78.7931	78.16787	77.70254
352	80.13231	80.23232	79.04716	78.3755	78.90218	78.28983	77.84515
353	80.16522	80.26386	79.09092	78.41664	78.9755	78.37739	77.95771
354	80.18406	80.29912	79.1307	78.48089	79.04681	78.44661	78.06649
355	80.20889	80.33263	79.17658	78.52899	79.10672	78.54106	78.15946
356	80.22738	80.40322	79.22145	78.5999	79.17467	78.64928	78.25597
357	80.2258	80.41134	79.2808	78.61612	79.28654	78.77148	78.30754
358	80.20307	80.40657	79.30378	78.51468	79.36022	78.83152	78.32096
359	80.19497	80.37674	79.24808	78.5647	79.41165	78.83221	78.33592
360	80.20466	80.40181	79.05619	78.71787	79.41514	78.79829	78.29224
361	80.23619	80.49932	78.8407	78.81577	79.28811	78.76853	78.23862
362	80.34833	80.65344	78.74934	78.91362	79.19084	78.81387	78.31992
363	80.43607	80.74009	78.87169	78.85316	79.21798	78.97394	78.50003
364	80.55945	80.78088	79.25747	78.85749	79.40363	79.19084	78.81837
365	80.61466	80.78709	79.66998	78.98504	79.62328	79.37783	79.08536
366	80.65432	80.82009	79.98744	79.19484	79.85932	79.51321	79.27105
367	80.68001	80.8698	80.0776	79.31284	79.98797	79.56805	79.34123
368	80.70783	80.93322	80.008	79.35047	80.00764	79.58622	79.36162
369	80.75871	81.01092	79.90774	79.38898	80.01309	79.65074	79.37033
370	80.80501	81.05933	79.88142	79.42002	80.02065	79.72633	79.38898
371	80.84991	81.11239	79.92511	79.47114	80.08006	79.78693	79.45613
372	80.87104	81.13002	79.94337	79.50098	80.09308	79.84179	79.50203
373	80.92682	81.17778	79.99148	79.55355	80.16751	79.90511	79.5691
374	80.92523	81.1949	80.01344	79.57486	80.18001	79.92634	79.59793
375	80.92291	81.21005	80.00729	79.58832	80.19497	79.95021	79.6079
376	80.94762	81.23538	80.03506	79.60965	80.19304	79.98375	79.64602
377	80.99705	81.28445	80.07989	79.6803	80.26545	80.06459	79.72266
378	80.99669	81.30302	80.10169	79.71565	80.28113	80.07989	79.74227
379	80.98638	81.3007	80.10926	79.70883	80.28783	80.10064	79.75855
380	81.03263	81.35927	80.1353	79.74857	80.31375	80.13758	79.82338
381	81.07998	81.37911	80.16064	79.79201	80.35045	80.18634	79.87265
382	81.09458	81.41182	80.20237	79.82899	80.39439	80.24694	79.92546
383	81.12521	81.4415	80.22809	79.8609	80.41222	80.27673	79.95039
384	81.14125	81.44937	80.26368	79.90405	80.44755	80.31111	79.97954
385	81.18188	81.49821	80.29277	79.93406	80.48624	80.35609	80.0282
386	81.2204	81.53491	80.31852	79.97392	80.51913	80.41328	80.08024
387	81.21184	81.55192	80.33986	80.00009	80.55768	80.43271	80.09906
388	81.19097	81.55944	80.32822	79.98446	80.54512	80.40587	80.0827
389	81.23306	81.5881	80.35309	80.03383	80.54141	80.4661	80.12562
390	81.30302	81.64527	80.426	80.10556	80.61519	80.54282	80.21118
391	81.32748	81.66661	80.43165	80.13987	80.66779	80.57749	80.248
392	81.28088	81.65746	80.423	80.10363	80.64742	80.5545	80.22668
393	81.28766	81.69782	80.42282	80.10961	80.62581	80.55573	80.21769
394	81.34695	81.71504	80.4866	80.17156	80.68603	80.62174	80.30405
395	81.42093	81.78452	80.54158	80.24024	80.74842	80.69968	80.36492
396	81.44204	81.80876	80.5644	80.29965	80.78336	80.7385	80.39951
397	81.43327	81.82116	80.6051	80.3104	80.80661	80.75658	80.3981
398	81.39501	81.80697	80.59572	80.25716	80.77095	80.73158	80.38557
399	81.40002	81.83661	80.55556	80.28395	80.72821	80.7236	80.39722
400	81.49624	81.88947	80.63201	80.39828	80.83482	80.83624	80.50622
401	81.56642	81.93173	80.69188	80.43677	80.91261	80.91048	80.56653
402	81.58219	81.94757	80.71084	80.45956	80.92291	80.92825	80.58687
403	81.58738	81.97853	80.73477	80.47476	80.94246	80.96095	80.61236
404	81.58577	81.98411	80.72591	80.49102	80.96291	80.96913	80.62369
405	81.56105	81.97295	80.72555	80.47599	80.94726	80.95473	80.59873
406	81.5915	82.00445	80.74984	80.50357	80.94051	80.98833	80.63626
407	81.66715	82.04588	80.80341	80.59201	81.01057	81.05078	80.71244
408	81.68472	82.06912	80.82897	80.61006	81.0506	81.07962	80.74576
409	81.70051	82.08895	80.84547	80.62741	81.07143	81.10972	80.75587
410	81.73084	82.1306	80.88543	80.6607	81.09066	81.13911	80.78815
411	81.74107	82.15153	80.89928	80.68497	81.10223	81.15301	80.81033
412	81.75992	82.14287	80.91314	80.68851	81.12771	81.17956	80.84476
413	81.73496	82.15297	80.9055	80.68621	81.10045	81.18028	80.81725
414	81.76602	82.184	80.93376	80.72183	81.12931	81.19222	80.84334
415	81.80966	82.23184	80.9846	80.77449	81.18901	81.2468	80.90941
416	81.81847	82.21667	80.96913	80.78496	81.16352	81.26696	80.90994
417	81.83877	82.24575	80.99154	80.8043	81.19971	81.2982	80.94051
418	81.85243	82.24069	80.99189	80.81033	81.21326	81.29445	80.94211
419	81.86124	82.26634	81.02694	80.85009	81.23449	81.33623	80.96255
420	81.84973	82.28332	81.02961	80.8421	81.25179	81.3148	80.96184
421	81.79475	82.25568	81.0015	80.82329	81.227	81.28981	80.91403
422	81.79996	82.26381	80.98033	80.80075	81.19383	81.27535	80.91492
423	81.86681	82.31296	81.02409	80.86092	81.22949	81.32909	80.97624
424	81.90763	82.33212	81.0814	80.92096	81.28392	81.40163	81.04366
425	81.93803	82.35906	81.11862	80.95046	81.30641	81.42827	81.06929
426	81.99275	82.39361	81.15622	80.99082	81.35606	81.46457	81.10117
427	81.98645	82.39271	81.1555	80.99616	81.37964	81.46726	81.11631
428	81.98897	82.4099	81.18937	81.00078	81.36678	81.48658	81.13305
429	81.95765	82.39977	81.18509	80.9999	81.37875	81.4626	81.10597
430	81.88587	82.39217	81.11114	80.94815	81.32694	81.42308	81.04188
431	81.92688	82.41605	81.12878	80.99029	81.31426	81.43756	81.07499
432	82.0167	82.44845	81.18473	81.05719	81.3825	81.51056	81.16905
433	82.05633	82.48014	81.25126	81.12486	81.49463	81.57341	81.22361
434	82.12086	82.52942	81.30802	81.13733	81.48121	81.61157	81.24269
435	82.10085	82.54483	81.32927	81.18705	81.49911	81.60691	81.24947
436	82.12267	82.53504	81.31605	81.15675	81.49893	81.63452	81.25804
437	82.10427	82.547	81.30712	81.16245	81.48354	81.63147	81.25233
438	82.10716	82.55154	81.3123	81.17546	81.50233	81.63649	81.27089
439	82.13349	82.55734	81.32587	81.1908	81.51772	81.66105	81.3007
440	82.15513	82.58145	81.34766	81.22093	81.55335	81.6736	81.32284
441	82.17534	82.59669	81.38769	81.2352	81.58917	81.7163	81.34784
442	82.21559	82.62789	81.40771	81.27588	81.59903	81.74107	81.37696
443	82.19104	82.62499	81.40502	81.27803	81.57807	81.72222	81.36839
444	82.21469	82.6444	81.4322	81.30659	81.61283	81.76027	81.40055
445	82.25442	82.6778	81.45974	81.32087	81.63649	81.78739	81.43595
446	82.24322	82.67145	81.44096	81.31355	81.62824	81.76871	81.41253
447	82.26796	82.69741	81.47781	81.35177	81.63953	81.81613	81.44043
448	82.30211	82.72792	81.50805	81.38715	81.68311	81.83733	81.49481
449	82.30157	82.71539	81.49105	81.37929	81.68203	81.84219	81.47888
450	82.32417	82.74646	81.51217	81.41682	81.69997	81.87724	81.49982
451	82.35581	82.75336	81.54905	81.4254	81.72473	81.88839	81.53634
452	82.35111	82.75918	81.54243	81.44025	81.72043	81.90061	81.53867
453	82.36576	82.77481	81.54744	81.45527	81.74017	81.91806	81.57019
454	82.37968	82.77499	81.58416	81.48014	81.76153	81.92724	81.58828
455	82.43126	82.80626	81.62501	81.51235	81.80625	81.97727	81.60405
456	82.4499	82.82135	81.62609	81.51432	81.80625	81.99563	81.62896
457	82.42908	82.8239	81.62143	81.52291	81.81541	81.97925	81.6286
458	82.46765	82.83954	81.65854	81.55675	81.8341	82.00139	81.64796
459	82.45914	82.85701	81.66571	81.55836	81.84362	82.00607	81.64115
460	82.45642	82.84809	81.6442	81.54243	81.82224	81.99005	81.63918
461	82.48685	82.87539	81.64563	81.5847	81.82853	82.0239	81.66446
462	82.49192	82.88012	81.68831	81.61462	81.86268	82.04066	81.6788
463	82.51094	82.87757	81.69746	81.6243	81.8963	82.06047	81.7032
464	82.52018	82.89978	81.69262	81.62985	81.87238	82.05849	81.68347
465	82.50822	82.90833	81.65764	81.61874	81.87472	82.0484	81.68024
466	82.47091	82.8965	81.64581	81.57538	81.84542	82.03669	81.70715
467	82.50623	82.89067	81.72097	81.63021	81.86987	82.04678	81.70769
468	82.49826	82.89595	81.69316	81.6329	81.87544	82.04768	81.71343
469	82.53704	82.91343	81.7163	81.64348	81.88713	82.09003	81.74125
470	82.5606	82.92563	81.73927	81.67307	81.93497	82.10337	81.77823
471	82.58127	82.93401	81.7565	81.70248	81.94595	82.13277	81.79098
472	82.59777	82.93692	81.78074	81.71145	81.95999	82.14251	81.78631
473	82.5878	82.95058	81.79152	81.71038	81.97529	82.14088	81.80571
474	82.58871	82.95841	81.79026	81.70213	81.97025	82.14052	81.80517
475	82.60449	82.99321	81.78649	81.74502	81.98051	82.16614	81.81595
476	82.61283	82.98939	81.79439	81.76458	81.97745	82.1647	81.81308
477	82.62716	82.99449	81.81667	81.77195	82.00355	82.18942	81.83967
478	82.69741	83.03915	81.86286	81.7908	82.03579	82.23816	81.90313
479	82.67689	83.0222	81.86987	81.80912	82.03939	82.22859	81.89792
480	82.69124	83.06979	81.87742	81.84488	82.05345	82.2425	81.89504
481	82.69305	83.06888	81.89018	81.85926	82.06047	82.25171	81.92076
482	82.71121	83.06031	81.874	81.85027	82.05633	82.25171	81.92094
483	82.71993	83.08512	81.88857	81.8634	82.07075	82.26634	81.93569
484	82.72102	83.09515	81.92634	81.87616	82.06372	82.29145	81.94793
485	82.71031	83.10592	81.93353	81.94469	82.1896	82.33519	81.95513
486	82.63914	83.16105	82.10445	81.97025	82.17895	82.37317	82.02714
487	82.73719	83.18187	82.06967	82.02859	81.99167	82.28097	82.06408
488	82.80299	83.1417	81.91231	81.98753	82.06732	82.26724	81.99923
489	82.78662	83.14024	81.93083	81.9294	82.10301	82.3361	81.98393
490	82.77772	83.13768	81.95783	81.94631	82.11654	82.33248	82.01814
491	82.80971	83.16671	81.96845	81.96197	82.14124	82.35924	82.03147
492	82.83518	83.16817	81.95873	81.97565	82.13529	82.36467	82.03669
493	82.83699	83.19082	81.98483	82.00211	82.14431	82.38602	82.04336
494	82.853	83.20087	81.98663	82.02895	82.15513	82.38945	82.04606
495	82.86392	83.21914	81.99941	82.04606	82.1674	82.41099	82.05381
496	82.85573	83.21165	81.99959	82.03363	82.1757	82.40556	82.05237
497	82.85755	83.23285	82.01256	82.04138	82.17787	82.42709	82.08661
498	82.87393	83.24436	82.02841	82.06786	82.20909	82.44139	82.12267
499	82.91489	83.26192	82.05921	82.0776	82.22715	82.46946	82.14431
500	82.93127	83.28112	82.06372	82.10229	82.22986	82.4767	82.14792
501	82.92563	83.28843	82.07868	82.11383	82.22823	82.4691	82.14142
502	82.92763	83.29008	82.05795	82.11455	82.20711	82.46747	82.12483
503	82.94493	83.30928	82.06029	82.13222	82.23022	82.4921	82.13583
504	82.95951	83.3091	82.09075	82.16253	82.24809	82.50496	82.15315
505	82.95295	83.31788	82.09364	82.16975	82.24665	82.50659	82.15874
506	82.99923	83.34112	82.14702	82.2053	82.30356	82.56024	82.21884
507	82.97955	83.33655	82.14864	82.19844	82.26507	82.5499	82.1896
508	82.99522	83.35485	82.1315	82.23184	82.29199	82.55951	82.2062
509	83.00998	83.36693	82.12411	82.22697	82.30736	82.57565	82.22498
510	83.03295	83.38213	82.15838	82.23672	82.3079	82.58363	82.2378
511	83.02311	83.37077	82.149	82.23292	82.30121	82.59904	82.2508
512	83.04134	83.37315	82.1508	82.25026	82.31386	82.58435	82.26182
513	83.05174	83.39403	82.19158	82.25929	82.33375	82.61936	82.28386
514	83.08348	83.42462	82.19411	82.29109	82.35436	82.63859	82.2938
515	83.10592	83.41765	82.20314	82.30862	82.36395	82.64876	82.30446
516	83.09552	83.42352	82.20169	82.31657	82.3672	82.65293	82.31477
517	83.10501	83.43451	82.22047	82.32814	82.37697	82.6493	82.32616
518	83.12107	83.4488	82.21379	82.3361	82.37625	82.666	82.33646
519	83.13531	83.46254	82.23058	82.34369	82.39108	82.68071	82.3399
520	83.16178	83.47153	82.25243	82.35943	82.39217	82.70213	82.37172
521	83.15758	83.48912	82.26056	82.37932	82.41171	82.69342	82.37408
522	83.15886	83.48821	82.26309	82.38384	82.41678	82.71575	82.36558
523	83.1784	83.48637	82.25658	82.39615	82.42492	82.71412	82.38077
524	83.19265	83.51186	82.27664	82.4137	82.43922	82.72865	82.40357
525	83.20891	83.5335	82.29507	82.44501	82.46022	82.753	82.41225
526	83.22298	83.53772	82.31477	82.45081	82.47073	82.77263	82.42746
527	83.23705	83.55588	82.32851	82.47199	82.48196	82.78408	82.43488
528	83.23047	83.559	82.32742	82.46258	82.48666	82.77481	82.44266
529	83.22755	83.56616	82.33736	82.46529	82.48449	82.79008	82.4499
530	83.23888	83.58304	82.34839	82.48902	82.49083	82.80499	82.449
531	83.24674	83.58745	82.34532	82.49862	82.49174	82.80808	82.45117
532	83.26338	83.60874	82.38041	82.50496	82.51746	82.81735	82.45696
533	83.26246	83.61994	82.39162	82.52761	82.52217	82.81044	82.48159
534	83.26923	83.63262	82.3994	82.53613	82.52725	82.82663	82.49717
535	83.2791	83.64364	82.39	82.5528	82.51728	82.82099	82.49717
536	83.29209	83.67119	82.41479	82.57329	82.53395	82.86156	82.53559
537	83.31587	83.66807	82.41822	82.59378	82.55154	82.86483	82.54737
538	83.30764	83.66109	82.40845	82.60956	82.54048	82.86065	82.5374
539	83.3177	83.67046	82.40936	82.62898	82.5528	82.88521	82.5441
540	83.33014	83.67266	82.43144	82.63769	82.56531	82.89668	82.549
541	83.35375	83.69122	82.45642	82.6415	82.57982	82.91197	82.55679
542	83.38194	83.70298	82.47942	82.64513	82.60666	82.92199	82.56731
543	83.38194	83.71401	82.48268	82.62825	82.60848	82.92344	82.57891
544	83.39879	83.74931	82.50877	82.65311	82.62118	82.94457	82.59614
545	83.39201	83.75281	82.50424	82.68325	82.61791	82.94512	82.61011
546	83.39879	83.76789	82.51221	82.70522	82.62662	82.94202	82.62589
547	83.39604	83.77543	82.50967	82.74137	82.62789	82.95951	82.64858
548	83.40447	83.77286	82.50206	82.74882	82.62245	82.95951	82.64331
549	83.43084	83.78279	82.53196	82.76772	82.64694	83.00233	82.65384
550	83.45265	83.785	82.547	82.75173	82.66872	83.01108	82.66636
551	83.47061	83.7988	82.56259	82.72883	82.69323	83.01472	82.66709
552	83.47666	83.82659	82.56985	82.71357	82.68579	83.01272	82.67453
553	83.47281	83.82954	82.56169	82.743	82.664	83.0016	82.69142
554	83.47409	83.84169	82.57021	82.80771	82.68434	83.01399	82.71503
555	83.47043	83.84629	82.57057	82.84645	82.69342	83.02165	82.72175
556	83.48014	83.83837	82.59197	82.85537	82.71376	83.04937	82.72683
557	83.50563	83.84463	82.61882	82.843	82.72629	83.07308	82.73574
558	83.52892	83.85052	82.63188	82.81353	82.75282	83.07089	82.74773
559	83.54157	83.87852	82.63696	82.80699	82.74791	83.05867	82.75718
560	83.52397	83.89196	82.62426	82.85864	82.73047	83.06359	82.77208
561	83.51993	83.90431	82.64331	82.9178	82.74936	83.08785	82.77572
562	83.55497	83.92347	82.64694	82.96898	82.7579	83.11413	82.78735
563	83.56579	83.91592	82.64694	82.91816	82.77044	83.11888	82.7868
564	83.5746	83.91334	82.67381	82.83845	82.78117	83.10245	82.77735
565	83.60636	83.95149	82.67363	82.8874	82.77935	83.11942	82.81371
566	83.59736	83.96974	82.69923	82.97736	82.80371	83.1448	82.85846
567	83.59938	83.9773	82.74918	83.05976	82.843	83.17676	82.85864
568	83.61719	83.97195	82.75045	83.01837	82.85773	83.18169	82.85428
569	83.64933	83.99298	82.78244	82.95277	82.89031	83.19886	82.86283
570	83.67744	84.01419	82.7579	82.95386	82.83772	83.19521	82.86392
571	83.63004	84.03541	82.78153	83.06286	82.8299	83.17931	82.8732
572	83.61187	84.03412	82.74282	83.10993	82.8108	83.16854	82.81062
573	83.63133	84.02102	82.78808	83.07089	82.86337	83.19228	82.83718
574	83.66733	84.06845	82.75645	82.96497	82.86956	83.21622	82.86574
575	83.626	84.05165	82.72048	82.93783	82.78408	83.13239	82.84827
576	83.65447	84.07417	82.82172	83.12709	82.85646	83.20434	82.90942
577	83.67781	84.08432	82.88776	83.23943	82.97718	83.27764	82.92636
578	83.65962	84.0978	82.73883	83.02001	82.82317	83.21293	82.8319
579	83.65668	84.09577	82.74646	82.94803	82.83663	83.17164	82.91489
580	83.7085	84.11406	82.91197	83.15795	82.89886	83.25277	82.9739
581	83.60452	84.07269	82.8803	83.27581	82.91762	83.22243	82.87848
582	83.7506	84.21145	82.78535	83.13695	82.9218	83.32776	82.9555
583	83.83745	84.20202	82.90688	83.08621	82.93601	83.29556	83.03004
584	83.76311	84.15286	82.95058	83.19393	82.95459	83.29886	83.0594
585	83.69453	84.14583	82.87448	83.2621	82.93437	83.28697	82.97062
586	83.76973	84.16746	82.87247	83.17183	82.98684	83.33032	83.00196
587	83.82549	84.21571	82.97864	83.11012	82.9923	83.35155	83.04608
588	83.84574	84.249	82.95641	83.31331	82.99139	83.36711	83.08658
589	83.80377	84.20202	82.9158	83.38835	83.03222	83.38213	83.05848
590	83.83524	84.1987	82.94166	83.19521	83.05465	83.40209	83.08658
591	83.88202	84.23013	82.98483	83.14516	83.02566	83.37791	83.12764
592	83.88257	84.2355	83.00269	83.32721	83.06414	83.39842	83.13677
593	83.84242	84.22699	82.99085	83.34478	83.09771	83.42535	83.13695
594	83.87483	84.25788	83.01764	83.19027	83.05903	83.43744	83.149
595	83.9408	84.28286	83.02657	83.28624	83.08238	83.43139	83.19667
596	83.89749	84.28101	82.98629	83.47538	83.09406	83.43597	83.14151
597	83.8566	84.23698	83.01892	83.28788	83.08749	83.45008	83.1375
598	83.91407	84.28231	83.06177	83.16982	83.0791	83.43909	83.1932
599	83.93656	84.31674	82.98793	83.40868	83.08931	83.43194	83.1932
600	83.89104	84.28009	83.0273	83.41179	83.12928	83.46419	83.18278
601	83.91002	84.28453	83.05867	83.21878	83.10318	83.48234	83.21055
602	83.9939	84.35193	83.05338	83.41582	83.13202	83.49151	83.21805
603	83.98542	84.33896	83.09515	83.58194	83.22134	83.54286	83.24235
604	83.92384	84.30545	83.11888	83.27855	83.11851	83.52507	83.20727
605	83.98947	84.3723	83.07071	83.35686	83.14279	83.49187	83.22371
606	83.95315	84.35174	83.06742	83.56469	83.18352	83.50178	83.18096
607	83.92366	84.31563	83.13731	83.32557	83.14772	83.52653	83.21293
608	83.99722	84.3862	83.07709	83.34753	83.14407	83.50068	83.2557
609	84.01991	84.38453	83.10081	83.61627	83.21256	83.52176	83.24144
610	83.98136	84.31193	83.16452	83.39934	83.18826	83.58048	83.28624
611	84.03892	84.39491	83.11742	83.35631	83.1932	83.548	83.30032
612	84.08396	84.42624	83.12983	83.63978	83.24436	83.57056	83.29191
613	84.00497	84.35285	83.1921	83.4259	83.22956	83.60581	83.32447
614	84.03024	84.41474	83.11139	83.38176	83.19356	83.55699	83.31898
615	84.07306	84.44033	83.15831	83.65355	83.24948	83.56946	83.28368
616	84.03984	84.39398	83.19868	83.43378	83.23248	83.6328	83.35814
617	84.07085	84.45665	83.13841	83.46804	83.24583	83.60342	83.34258
618	84.12403	84.46592	83.21732	83.70133	83.3005	83.64217	83.32392
619	84.04501	84.3812	83.2005	83.38817	83.23833	83.64125	83.36894
620	84.13512	84.51472	83.17256	83.60342	83.28989	83.65907	83.36217
621	84.12329	84.44126	83.24181	83.69637	83.29611	83.73295	83.31495
