Wavelength,Transmittance,Std.Dev.
190,0.0337830179826412,0.00380963327260635
191,0.0144349011619741,0.00191357726623633
192,0.0199000365562361,0.00460345882836018
193,0.018448930031359,0.00311341860295279
194,0.0223938932866703,0.00334626143862924
195,0.0246085003157292,0.00360624138016302
196,0.0218701067340518,0.00338941594291389
197,0.0109637577420818,0.00207010712810897
198,0.0100101063182621,0.00283893460207977
199,0.0100000109795873,0.00382172921559231
200,0.0159679080826678,0.00399700285455551
201,0.0100000109795873,0.00205690422105406
202,0.0135460765700314,0.0027787092957618
203,0.0100000109795873,0.00165235376922514
204,0.0101264541640196,0.00122456449436255
205,0.0121288833674583,0.00133489150780765
206,0.0131474536401396,0.00153000577996033
207,0.0121624886919851,0.00172183411797801
208,0.0156027812134125,0.00215920596611902
209,0.0100000109795873,0.00185882201868414
210,0.0125041862874291,0.00151978937251591
211,0.019433471013454,0.00224021199190613
212,0.0179257204650269,0.00364743783479906
213,0.0118036865907915,0.00482465835253858
214,0.0126719590686264,0.00291214983007511
215,0.0224691837331019,0.0064617212110254
216,0.0150744753716816,0.00366406361384693
217,0.0207837195843146,0.00254559102330214
218,0.0271582801306312,0.00161326910212392
219,0.0190296737672076,0.00185547400289299
220,0.0211188987694521,0.00338002251532007
221,0.02232910063715,0.00361151716088649
222,0.0221265630452486,0.00260325475698452
223,0.0235398537623029,0.00288728960574758
224,0.0169487959501531,0.00277337163482733
225,0.0167399596168623,0.00206995560664651
226,0.0203752530935771,0.00155955934384629
227,0.0229026728458046,0.00214152399666409
228,0.0174930894187725,0.00256253576668878
229,0.0163671493494537,0.00240338218017812
230,0.0192565006964922,0.00214856328769399
231,0.0155665223952667,0.00139283356698523
232,0.019616676368361,0.00125634856881809
233,0.0199334066990367,0.00147169979551963
234,0.0199546255632006,0.00177085114351774
235,0.0273948119451818,0.00142885383947914
236,0.0250213455888114,0.00134742604112016
237,0.0260093311859818,0.00159183873228017
238,0.0330249539195593,0.0017603618977051
239,0.0400664458035102,0.00208071634577374
240,0.0407770176040433,0.0026828219686628
241,0.0419807519071556,0.0019902233974045
242,0.0519843675430826,0.00355197747950714
243,0.0599966106301682,0.00363943155080023
244,0.0640186982490017,0.00232891132822279
245,0.0789982262349963,0.00204384931545883
246,0.0880726183868664,0.00142807216972095
247,0.0993011872722747,0.00216299129587264
248,0.113987218290154,0.00210741591020409
249,0.132381738217172,0.00281958647302432
250,0.156676029055242,0.00359686196341216
251,0.192688309132033,0.00259771935152761
252,0.312630851615474,0.00195246673925901
253,0.608034073757697,0.00146947803135468
254,1.18809333408123,0.00199747039457302
255,2.14066056986294,0.00306353693981161
256,3.45103657491169,0.00376000301240083
