Wavelength (nm);Transmittance(%);Std.Dev.
190;0.0178432476693409;0.0138112870196905
191;0.0143379003463861;0.0032633020289873
192;0.0100000109795873;0.010928019106485
193;0.010008919395451;0.0223946915893633
194;0.0100000109795873;0.0157339191240455
195;0.0100997607199028;0.0303189257137475
196;0.0100000109795873;0.0369488277644943
197;0.0168983846665746;0.0275965023823428
198;0.0102172740209591;0.00348383867942996
199;0.0100000109795873;0.00363630547001051
200;0.0100000219591867;0.018438490800633
201;0.0100000219591867;0.0369541228470419
202;0.0100000219591867;0.0187292899831225
203;0.0100000219591867;0.0161197270868912
204;0.0100000219591867;0.00844309352146377
205;0.0100000219591867;0.0047878251922952
206;0.0100000219591867;0.00761350740421754
207;0.0100000219591867;0.00794944750719006
208;0.0100000219591867;0.0161585755965361
209;0.0100000219591867;0.0272389121648454
210;0.0100000219591867;0.0196940370605934
211;0.0100000219591867;0.0176448016235333
212;0.0100000219591867;0.0149817040925885
213;0.0100000219591867;0.0271693241320934
214;0.0100000219591867;0.0139022390491742
215;0.0100000219591867;0.00390354768804914
216;0.0100000219591867;0.00530351020338523
217;0.0100000219591867;0.00349311870293985
218;0.0100000219591867;0.0044850873832066
219;0.0100000219591867;0.00779996791491598
220;0.0100000219591867;0.00852628576349
221;0.0100000219591867;0.00693699343823451
222;0.0100000219591867;0.00913306482799315
223;0.0100000219591867;0.00511313379066421
224;0.0100000219591867;0.0114548317332091
225;0.0100000109795873;0.0244146784485481
226;0.0100398251767014;0.0115356479026962
227;0.0100000109795873;0.00253705808720622
228;0.0109215146143107;0.0130113663160542
229;0.0103603214379404;0.0282492361451887
230;0.0100000109795873;0.0239658667653325
231;0.0100189137233815;0.0134231807659411
232;0.0100000109795873;0.0218945002545352
233;0.0100000219591867;0.0288250690445867
234;0.0100000219591867;0.0131833001900884
235;0.0100000219591867;0.00774767354931129
236;0.0100000219591867;0.0134036050776104
237;0.0100000219591867;0.00770657987437484
238;0.0100000219591867;0.00547039696771452
239;0.0100000219591867;0.00954327975076536
240;0.0100000109795873;0.0142539143610186
241;0.0100000109795873;0.00330524300487901
242;0.010012073842896;0.00184698530616661
243;0.010462011024594;0.0042582974216248
244;0.0100000109795873;0.00870933507580083
245;0.0100017898319114;0.0103726435059449
246;0.0100367501448651;0.0172413965167912
247;0.0100000109795873;0.00850157076815097
248;0.0108308783313531;0.00268734120850882
249;0.0138157865271624;0.00431129968931736
250;0.0107853689626778;0.0055326866337304
251;0.0140602823317096;0.0132057382907937
252;0.0111908709546587;0.00561275599460822
253;0.0154100392636306;0.00804626661807881
254;0.0100000109795873;0.00609372067380025
255;0.0101941459979491;0.010064311078967
256;0.0100000109795873;0.00711261163907992
257;0.0100000109795873;0.00827467984455694
258;0.0100392299357317;0.00541258504560409
259;0.0100000109795873;0.00456530926081244
260;0.0108793386875348;0.00558539330962087
261;0.0102721316284375;0.0104186526416871
262;0.0119492094142092;0.00734311482621127
263;0.0114760018944528;0.00971096759774164
264;0.0100000109795873;0.00500872379580408
265;0.0100014603909426;0.00316814246730969
266;0.0104285345828429;0.00267116717223427
267;0.0101435019213534;0.00448204326022216
268;0.0101037203097211;0.00343777030494733
269;0.0100000109795873;0.00224783356873749
270;0.0147811671715069;0.0047430314572061
271;0.0103884335007853;0.00618743409806434
272;0.0141853083119421;0.00429762695910008
273;0.0133658061830636;0.00583740410657397
274;0.0101016238629543;0.00767837358443927
275;0.0100152622734698;0.00497188209752491
276;0.0101951869764269;0.00469007094364011
277;0.0162293958379525;0.00352801947090737
278;0.0152296243022663;0.00464252280293991
279;0.0174944915625877;0.00857668062324031
280;0.0100000109795873;0.00255789873454852
281;0.018843383290807;0.00226638424824943
282;0.0251002605872002;0.00307019842755343
283;0.0230811734682661;0.00387391369077463
284;0.0215844159062288;0.0041937257439198
285;0.0242611053392101;0.00518908292954643
286;0.0259578080608026;0.0102217787437159
287;0.0179037101771441;0.00471214943422442
288;0.0247870114204169;0.00485939728987438
289;0.0307599827655222;0.00707674712015606
290;0.0323168821722416;0.00836301682850822
291;0.0378565241087282;0.00641267751857888
292;0.0414935848105176;0.00496023185127479
293;0.0380868680143483;0.00700283960264231
294;0.0414190275120777;0.00654323030947987
295;0.0453016087111366;0.00585740712147447
296;0.0377506404571784;0.00571978809714601
297;0.0424238625081331;0.00363887186198375
298;0.0614950691050851;0.00327629168773544
299;0.0518311716590183;0.00336984477996103
300;0.0643625626366448;0.00558160756140115
301;0.0810401929095617;0.00778400325255889
302;0.0876936947859803;0.00615102503693297
303;0.133336770520114;0.00454913307004353
304;0.179257598284512;0.0030852988445059
305;0.266941684743907;0.00272195160508145
306;0.385375070692822;0.00363730462138314
307;0.565094979011762;0.00419957359558647
308;0.778742968543484;0.00329576410808625
309;1.11699900892401;0.00351465336445872
310;1.53452554017809;0.00377366721602023
311;2.08958372143075;0.00230719711932647
312;2.762497048352;0.00164746529976922
313;3.57485882625163;0.00343227652188548
314;4.53798663596266;0.00294702435173486
315;5.67159879484237;0.00309545246252133
316;6.93355131742847;0.0035004741348298
317;8.37706506094149;0.00254361634949988
318;9.93868115753404;0.00367002378379724
319;11.6339510960808;0.00454265972853896
320;13.4828654278577;0.00639667219145118
321;15.3952755488689;0.00541762832769445
322;17.4481651589922;0.00479424048176239
323;19.532663612213;0.00499338400035014
324;21.7115536803004;0.00508098661542936
325;23.9005270663575;0.00784817836306897
326;26.1434374556094;0.00599846412327969
327;28.3887934178837;0.00563482435100294
328;30.6079750409614;0.00796107051448766
329;32.8377322560903;0.00755803206816166
330;35.0162057071297;0.00599861286175435
331;37.2094660979407;0.00847530171510275
332;39.3192699747328;0.013215941192029
333;41.3685340812422;0.0114482341369752
334;43.3821410196098;0.0144822528588016
335;45.3598908548515;0.0115753750290225
336;47.1998025358499;0.00984672008774099
337;49.0518319230637;0.0145752220229219
338;50.815647880365;0.0140202632899377
339;52.5037167401894;0.013424670605216
340;54.1389735382571;0.0182052738589759
341;55.6868704243218;0.0187851811310665
342;57.1672514415655;0.0135884932363807
343;58.5898337414077;0.0111584714244576
344;59.953412997954;0.0135918236679514
345;61.2873944913409;0.0134595443899893
