Wavelength (nm),Transmittance(%),Std.Dev.
190,0.010395587565785,0.00313504760855051
191,0.0129797399434195,0.00411280899956645
192,0.0154434747308755,0.00355043224428429
193,0.0150057137183564,0.00342611330442777
194,0.0117460780769606,0.00163269189875509
195,0.0100000109795873,0.00196043106245169
196,0.0120233154712142,0.00291949591647551
197,0.0101065273454327,0.00892354343035667
198,0.0100000109795873,0.0182222096803018
199,0.0100018886663181,0.00891983020631842
200,0.0100000219591867,0.00505475289267504
201,0.0100000219591867,0.00290977401814462
202,0.0100000219591867,0.0031215393315789
203,0.0100000219591867,0.00297158766603782
204,0.0100000219591867,0.0026523270731775
205,0.0100000219591867,0.00287309463626849
206,0.0100000219591867,0.00248312558520267
207,0.0100000219591867,0.00551935086497655
208,0.0100000219591867,0.0108304300561681
209,0.0100000219591867,0.00624032437552655
210,0.0100000219591867,0.00317279059160006
211,0.0100000219591867,0.00468588471644642
212,0.0100000219591867,0.00648414973874774
213,0.0100000219591867,0.00734429388617901
214,0.0100000219591867,0.0041357554116526
215,0.0100000109795873,0.00480437169694997
216,0.0100100074026521,0.00378212898536874
217,0.0100000109795873,0.00351885794196691
218,0.0103543170733746,0.00354244657726667
219,0.0100000109795873,0.0016395282596198
220,0.0138931831721239,0.0187729984063686
221,0.0130470656570421,0.0380530156326379
222,0.0115970429917358,0.0157831365710126
223,0.0120521944952504,0.0116072378666838
224,0.0100000109795873,0.0196923722153937
225,0.0100000109795873,0.00926846439489151
226,0.0129991646132263,0.00293919385293758
227,0.0113124936806573,0.00391894076998925
228,0.0102986813290056,0.00216082280291596
229,0.0103163814847814,0.0021455588970998
230,0.0100000109795873,0.00163090897004662
231,0.0100125685328221,0.00372993070285708
232,0.0100000109795873,0.00748908862450068
233,0.0100000219591867,0.00410039383282751
234,0.0100000219591867,0.00264841613939989
235,0.0100000219591867,0.00284799467890968
236,0.0100000219591867,0.00188116515636308
237,0.0100000109795873,0.00198541877351678
238,0.0100337091045831,0.00237646326375102
239,0.0100000109795873,0.00225877281516907
240,0.0131961908931267,0.00292495540392646
241,0.0100000109795873,0.00322980534138895
242,0.0100000109795873,0.00207031915573057
243,0.0103176048684483,0.00199330745108139
244,0.017298521113666,0.00503241548240665
245,0.0100144815638554,0.00211502459811479
246,0.0137257940882581,0.00286753631965818
247,0.0136156222738177,0.00152775213836887
248,0.0208149831808964,0.00206834066008687
249,0.0186239170935264,0.00280637821883694
250,0.0168126989264559,0.00245603821669968
251,0.0204400533567159,0.0025636367437985
252,0.0212662813395912,0.00417862249121075
253,0.018567565263753,0.00296361184982755
254,0.0221988828620036,0.00244630583542742
255,0.0249380235100728,0.00220228109503142
256,0.0211256706536012,0.00298517505479412
257,0.017243074481192,0.00235855479183849
258,0.0210354031585075,0.00290176696530136
259,0.0257206333283776,0.00234828118569731
260,0.0273674242617681,0.00331411347583141
261,0.029075213407922,0.00396837942465612
262,0.0288451627870248,0.00568586486611455
263,0.0218106368325446,0.00331653572018836
264,0.024008281807793,0.00288165570395478
265,0.0288956584880629,0.0022174459109353
266,0.0348267949857196,0.00320990338337086
267,0.0318460150252727,0.0024318922419446
268,0.0402308697376622,0.00300605253891749
269,0.0389760997410022,0.00282595681795657
270,0.0366937722825511,0.00344986498567544
271,0.0494141661250102,0.00292841510692212
272,0.0543964340792239,0.00155773957181079
273,0.0606190970052085,0.00154662717559683
274,0.0676545474373683,0.00285881838231956
275,0.0746929429973668,0.00349928450614497
276,0.0901111788546418,0.00320899464126661
277,0.11295204947508,0.00291254553522951
278,0.135539466855579,0.00198370140347523
279,0.219925757418436,0.00207372170341484
280,0.521024789724677,0.00268880608474684
281,1.25295833713396,0.00270006717219473
282,2.3451987453319,0.00309965110717214
283,3.65886901898083,0.00290037961022097
284,5.12547878017374,0.00245949530699545
285,7.00688943708119,0.00353609393735935
286,9.65159552669958,0.00450712263595948
287,12.7664748888148,0.00433550930359131
288,15.9490021537731,0.00604696652433435
289,18.7820363090563,0.00554586986173872
290,20.7160555960396,0.00540038309682128
291,20.8792103359065,0.00656537794038158
292,20.212818170155,0.00453690020589748
293,21.5822120317471,0.00524477170878271
294,25.9423083711302,0.00697818361450728
295,31.920613937396,0.00811620140828452
296,37.9725428437951,0.010172057595701
297,43.3728538178159,0.0105412704275863
