#	Moss green unused		
w.length.1 transmittance.1	w.length.2	transmittance.2
417	3.2	417	3.2
418	3.2	418	3.2
419	3.2	419	3.2
420	3.3	420	3.2
421	3.3	421	3.3
422	3.3	422	3.3
423	3.3	423	3.3
424	3.3	424	3.3
425	3.3	425	3.3
426	3.3	426	3.3
427	3.4	427	3.3
428	3.4	428	3.4
429	3.4	429	3.4
430	3.4	430	3.4
431	3.4	431	3.4
432	3.4	432	3.4
433	3.4	433	3.4
434	3.5	434	3.4
435	3.5	435	3.5
436	3.5	436	3.5
437	3.5	437	3.5
438	3.5	438	3.5
439	3.6	439	3.6
440	3.6	440	3.6
441	3.7	441	3.6
442	3.7	442	3.7
443	3.7	443	3.7
444	3.8	444	3.8
445	3.9	445	3.9
446	4	446	3.9
447	4	447	4
448	4.1	448	4.1
449	4.2	449	4.2
450	4.3	450	4.3
451	4.4	451	4.4
452	4.5	452	4.5
453	4.6	453	4.6
454	4.8	454	4.7
455	4.9	455	4.9
456	5	456	5
457	5.2	457	5.1
458	5.3	458	5.3
459	5.5	459	5.5
460	5.7	460	5.6
461	5.9	461	5.8
462	6.1	462	6
463	6.3	463	6.2
464	6.5	464	6.5
465	6.8	465	6.7
466	7	466	7
467	7.3	467	7.3
468	7.7	468	7.6
469	8	469	8
470	8.4	470	8.4
471	8.9	471	8.8
472	9.4	472	9.3
473	9.9	473	9.8
474	10.4	474	10.4
475	11.1	475	11
476	11.8	476	11.7
477	12.5	477	12.5
478	13.4	478	13.3
479	14.2	479	14.2
480	15.2	480	15.2
481	16.3	481	16.2
482	17.3	482	17.3
483	18.4	483	18.4
484	19.6	484	19.5
485	20.8	485	20.8
486	22	486	22
487	23.2	487	23.2
488	24.4	488	24.4
489	25.6	489	25.6
490	26.9	490	26.9
491	28.2	491	28.2
492	29.4	492	29.4
493	30.7	493	30.7
494	31.9	494	31.9
495	33.1	495	33.1
496	34.4	496	34.3
497	35.5	497	35.5
498	36.7	498	36.7
499	37.9	499	37.9
500	39.1	500	39
501	40.3	501	40.1
502	41.5	502	41.3
503	42.7	503	42.5
504	43.8	504	43.6
505	44.9	505	44.7
506	46	506	45.7
507	47	507	46.8
508	47.9	508	47.7
509	48.8	509	48.6
510	49.6	510	49.4
511	50.3	511	50.1
512	50.9	512	50.8
513	51.4	513	51.3
514	51.9	514	51.8
515	52.2	515	52.1
516	52.4	516	52.4
517	52.6	517	52.5
518	52.6	518	52.6
519	52.7	519	52.7
520	52.6	520	52.6
521	52.5	521	52.6
522	52.4	522	52.5
523	52.3	523	52.3
524	52.2	524	52.2
525	52.1	525	52.1
526	52	526	51.9
527	51.9	527	51.8
528	51.8	528	51.7
529	51.8	529	51.6
530	51.7	530	51.6
531	51.7	531	51.5
532	51.6	532	51.3
533	51.6	533	51.3
534	51.5	534	51.2
535	51.4	535	51.1
536	51.2	536	50.9
537	51	537	50.7
538	50.7	538	50.4
539	50.3	539	50.1
540	49.9	540	49.8
541	49.5	541	49.3
542	49	542	48.8
543	48.4	543	48.3
544	47.8	544	47.7
545	47.1	545	47
546	46.3	546	46.2
547	45.5	547	45.4
548	44.7	548	44.6
549	43.8	549	43.8
550	42.9	550	42.9
551	42	551	42
552	41.1	552	41.1
553	40.2	553	40.2
554	39.3	554	39.2
555	38.4	555	38.3
556	37.5	556	37.4
557	36.7	557	36.6
558	35.8	558	35.7
559	35	559	34.9
560	34.1	560	34
561	33.2	561	33.1
562	32.4	562	32.3
563	31.6	563	31.5
564	30.8	564	30.7
565	30	565	29.8
566	29.3	566	29
567	28.5	567	28.2
568	27.7	568	27.5
569	26.9	569	26.7
570	26.1	570	25.9
571	25.4	571	25.2
572	24.6	572	24.5
573	23.9	573	23.8
574	23.2	574	23.1
575	22.5	575	22.4
576	21.8	576	21.7
577	21.2	577	21.1
578	20.5	578	20.4
579	19.9	579	19.8
580	19.3	580	19.2
581	18.6	581	18.5
582	18	582	17.9
583	17.4	583	17.3
584	16.8	584	16.7
585	16.2	585	16.2
586	15.7	586	15.6
587	15.2	587	15.1
588	14.6	588	14.5
589	14	589	14
590	13.5	590	13.4
591	13	591	12.9
592	12.5	592	12.4
593	12	593	11.9
594	11.5	594	11.4
595	11	595	10.9
596	10.5	596	10.4
597	10	597	10
598	9.6	598	9.5
599	9.1	599	9.1
600	8.7	600	8.7
601	8.3	601	8.3
602	8	602	7.9
603	7.6	603	7.6
604	7.3	604	7.2
605	7	605	6.9
606	6.7	606	6.7
607	6.5	607	6.4
608	6.3	608	6.2
609	6.1	609	6
610	5.9	610	5.9
611	5.8	611	5.7
612	5.6	612	5.6
613	5.5	613	5.5
614	5.4	614	5.4
615	5.3	615	5.3
616	5.2	616	5.2
617	5.2	617	5.1
618	5.1	618	5.1
619	5.1	619	5
620	5.1	620	5
621	5	621	5
622	5	622	5
623	5	623	5
624	5	624	5
625	5	625	5
626	5.1	626	5
627	5.1	627	5
628	5.1	628	5
629	5.1	629	5.1
630	5.2	630	5.1
631	5.2	631	5.2
632	5.3	632	5.3
633	5.4	633	5.3
634	5.4	634	5.4
635	5.5	635	5.5
636	5.6	636	5.5
637	5.7	637	5.6
638	5.7	638	5.7
639	5.8	639	5.8
640	5.9	640	5.9
641	6	641	5.9
642	6	642	6
643	6.1	643	6
644	6.1	644	6.1
645	6.2	645	6.1
646	6.2	646	6.2
647	6.2	647	6.2
648	6.3	648	6.2
649	6.2	649	6.2
650	6.2	650	6.2
651	6.2	651	6.1
652	6.1	652	6
653	6	653	6
654	6	654	5.9
655	5.8	655	5.8
656	5.7	656	5.6
657	5.6	657	5.5
658	5.4	658	5.3
659	5.2	659	5.2
660	5	660	5
661	4.9	661	4.8
662	4.7	662	4.6
663	4.5	663	4.4
664	4.3	664	4.3
665	4.1	665	4.1
666	4	666	3.9
667	3.9	667	3.8
668	3.8	668	3.7
669	3.7	669	3.6
670	3.6	670	3.5
671	3.5	671	3.5
672	3.5	672	3.4
673	3.5	673	3.4
674	3.5	674	3.4
675	3.5	675	3.4
676	3.5	676	3.4
677	3.5	677	3.5
678	3.6	678	3.6
679	3.7	679	3.6
680	3.8	680	3.8
681	4	681	3.9
682	4.2	682	4.1
683	4.4	683	4.3
684	4.7	684	4.6
685	5	685	4.9
686	5.4	686	5.3
687	5.8	687	5.8
688	6.3	688	6.2
689	6.8	689	6.8
690	7.4	690	7.4
691	8.1	691	8
692	8.8	692	8.7
693	9.6	693	9.6
694	10.5	694	10.4
695	11.4	695	11.3
696	12.3	696	12.2
697	13.3	697	13.2
698	14.4	698	14.2
699	15.4	699	15.3
700	16.5	700	16.4
701	17.6	701	17.5
702	18.8	702	18.6
703	19.9	703	19.8
704	21.1	704	21
705	22.2	705	22.1
706	23.3	706	23.3
707	24.6	707	24.4
708	25.7	708	25.6
709	26.8	709	26.7
710	28	710	27.9
711	29.2	711	29
712	30.3	712	30.2
713	31.5	713	31.3
714	32.6	714	32.5
715	33.7	715	33.7
716	34.9	716	34.8
717	36.1	717	35.9
718	37.2	718	37
719	38.3	719	38.1
720	39.4	720	39.2
721	40.5	721	40.3
722	41.5	722	41.4
723	42.6	723	42.4
724	43.8	724	43.6
725	45	725	44.7
726	46.1	726	45.7
727	47.1	727	46.8
728	48	728	47.8
729	49.1	729	48.8
730	50.1	730	49.8
731	51.1	731	50.8
732	52.1	732	51.9
733	53.1	733	52.8
734	54.1	734	53.9
735	55.1	735	54.9
736	56	736	55.8
737	56.9	737	56.7
738	57.9	738	57.6
739	58.8	739	58.5
740	59.6	740	59.4
741	60.5	741	60.2
742	61.2	742	61.1
743	62.1	743	61.9
744	62.9	744	62.7
745	63.7	745	63.5
746	64.4	746	64.4
747	65.1	747	65.2
748	65.8	748	65.8
749	66.4	749	66.4
750	67.1	750	67.1
751	67.8	751	67.7
752	68.4	752	68.3
753	68.9	753	68.9
754	69.5	754	69.5
755	70.1	755	70.1
756	70.6	756	70.7
757	71.1	757	71.1
758	71.6	758	71.5
759	72	759	72
760	72.3	760	72.5
761	72.8	761	72.9
762	73.3	762	73.4
763	73.7	763	73.8
764	74.1	764	74.3
765	74.5	765	74.6
766	74.9	766	74.9
767	75.2	767	75.3
768	75.6	768	75.7
769	76.1	769	76.1
770	76.4	770	76.5
771	76.7	771	76.7
772	77	772	77
773	77.2	773	77.3
774	77.5	774	77.4
775	77.7	775	77.6
776	78	776	78
777	78.5	777	78.3
778	78.8	778	78.6
779	78.9	779	79
780	79.3	780	79.2
781	79.8	781	79.5
782	80.1	782	79.8
783	80.3	783	80.1
784	80.5	784	80.3
785	80.9	785	80.6
786	81.3	786	81.1
787	81.6	787	81.3
788	81.8	788	81.4
789	82.1	789	81.8
790	82.2	790	82.1
791	82.7	791	82.3
792	83.1	792	82.6
793	83.3	793	83.1
794	83.6	794	83.4
795	83.8	795	83.6
796	84	796	83.8
797	84.4	797	84.2
798	84.9	798	84.5
799	84.9	799	84.6
800	84.8	800	84.8
