Wavelength (nm);Transmittance(%);Std.Dev.
190;0.0100000109795873;0.0060110136590053
191;0.0104124024402814;0.00456077064979699
192;0.0100000109795873;0.0044960045360373
193;0.0100000109795873;0.00368485753061512
194;0.0134533349816271;0.00334185722018974
195;0.0136871930284588;0.0060802057018269
196;0.0101650975183782;0.0106217934585321
197;0.0100000109795873;0.0128768831996649
198;0.0100000109795873;0.00869003909450318
199;0.0120852025305386;0.00398593532052132
200;0.0100000219591867;0.00987224971687019
201;0.0100121727789259;0.00657118167873501
202;0.0100000109795873;0.00741949436679656
203;0.0100000219591867;0.0117772914286246
204;0.0100000219591867;0.00573244576079242
205;0.0100000219591867;0.00320505722305116
206;0.0100000219591867;0.0137168226494934
207;0.0100000219591867;0.0295441363463127
208;0.0100000219591867;0.0164390196493494
209;0.0100000219591867;0.00587248084145161
210;0.0100000219591867;0.00567820768499081
211;0.0100000109795873;0.00291437207794131
212;0.0100567712627905;0.0031889522913689
213;0.0100000109795873;0.00308643160951675
214;0.0110372041979498;0.00457562465871799
215;0.0121210288781677;0.012666539003235
216;0.0100000109795873;0.016247930262778
217;0.0100000109795873;0.00845074628838927
218;0.0117013988151959;0.0139611271225745
219;0.0118728483372173;0.0297528554818531
220;0.0105279110040161;0.0123790968234058
221;0.0110595124278742;0.00357234956791957
222;0.0100000109795873;0.00452224406700101
223;0.0101254535554155;0.00689965283871033
224;0.0100442464963294;0.0138690028214004
225;0.0100000109795873;0.00896046439055612
226;0.0100030088578529;0.00978482032160562
227;0.0100000109795873;0.0101000874302657
228;0.0100000219591867;0.0187849287062017
229;0.0100000219591867;0.00995792314574009
230;0.0100000219591867;0.00600411868050609
231;0.0100000219591867;0.00938880295134044
232;0.0100000219591867;0.0101856425628366
233;0.0100000219591867;0.0061457796723752
234;0.0100000219591867;0.00818770608605528
235;0.0100000219591867;0.00567722807716152
236;0.0100000219591867;0.010796576404339
237;0.0100000219591867;0.0183769616041226
238;0.0100000219591867;0.0125971074356148
239;0.0100000109795873;0.00586127049629338
240;0.0100004611530483;0.00396872349508403
241;0.0100017239428495;0.0119457573981146
242;0.010132782523114;0.0261802342790132
243;0.0100000109795873;0.0166458695997726
244;0.0100022949958064;0.00579194664427488
245;0.0100000109795873;0.00246554879394713
246;0.0100000219591867;0.00352101651873284
247;0.0100000219591867;0.00288657012561365
248;0.0100000219591867;0.00291246620342339
249;0.0100000109795873;0.00536718965398795
250;0.0100007027178941;0.00501976027694108
251;0.0100000109795873;0.00358046515791283
252;0.0100791892132656;0.00505316188605603
253;0.0100000109795873;0.00474411013924839
254;0.0112514747466527;0.0032380888326055
255;0.0145788087332926;0.00658848329568094
256;0.0109199678376668;0.00535103973739449
257;0.0114904129291013;0.00396343335658757
258;0.0124796627843894;0.00560242864419529
259;0.0100000109795873;0.00423051561231627
260;0.0125231467688637;0.00313194446283744
261;0.0120187883474538;0.0035145838114753
262;0.0100000109795873;0.00262833849826621
263;0.0100744649134395;0.00357869930710549
264;0.0100651776706682;0.00313183509839875
265;0.0100000109795873;0.0026756696948858
266;0.0127087434151483;0.0021256358546535
267;0.0172600650064799;0.00219378261423819
268;0.0185149614392463;0.00197296439625317
269;0.0110119299856808;0.00239606326542692
270;0.0108252549461913;0.00332932305668256
271;0.0144106568525991;0.00278255471901552
272;0.0132139662027051;0.00277575679558258
273;0.0100000109795873;0.00346696190530237
274;0.0226244245276398;0.00402473300895157
275;0.0102838565418355;0.00127116230876408
276;0.0156109892166566;0.00267475908647716
277;0.012901580306107;0.00372423644493387
278;0.0177771913760891;0.00409661569838337
279;0.026165549189044;0.00659833129338784
280;0.019567673452563;0.00487062845685157
281;0.0278562674856847;0.00470797397263596
282;0.0165130690505393;0.00182559447804912
283;0.039688506875741;0.0038889170608321
284;0.0520551336468341;0.00952699308737572
285;0.0428808771443084;0.00687616392926528
286;0.0526721422651658;0.00720317893636279
287;0.047664181395932;0.00502940406010044
288;0.0649929441780935;0.00548941686210285
289;0.0673168904190329;0.0035629268765446
290;0.100491000599513;0.00559921428102979
291;0.114717312317927;0.00427928662252182
292;0.169738809103382;0.00454571271351055
293;0.218453159226908;0.0048084250753601
294;0.307393880273333;0.00586607851936854
295;0.478173447877827;0.00436915377431407
296;0.706964586142588;0.00421333499236152
297;1.05768853243693;0.00393693014767863
298;1.5670338321437;0.00342424145793634
299;2.21619634557354;0.00500946914150636
300;2.96128936141448;0.00512092596745412
301;3.81356587781429;0.00349647640858677
302;4.73700897547915;0.00368961470213261
303;5.7075622003143;0.00549891850267973
304;6.73726424832776;0.00575791881091081
305;7.78654050794009;0.00435775964896947
306;8.84168646795608;0.00682711799768136
307;9.92984615960306;0.00860614322670448
308;11.0406463568114;0.00622810491638593
309;12.2028978141566;0.00513613588125927
310;13.3791378142159;0.00530077550684236
311;14.6091092667394;0.00410259029493217
312;15.8968687398511;0.00451018712006435
313;17.2243039887571;0.00646808687919603
