Wavelength,Transmittance,StdDev
190,0.0100000109795873,0.0137294822750438
191,0.0147013577065184,0.00937581885053362
192,0.0113356196852528,0.00315642742908467
193,0.010840241262685,0.00324625416744375
194,0.0101552918624283,0.00652292787093261
195,0.0100000109795873,0.0131584089616037
196,0.0100053375004617,0.0111580108617345
197,0.0100000109795873,0.0163916893495447
198,0.0100000219591867,0.0106203594600347
199,0.0100000219591867,0.00526331556638546
200,0.0100000219591867,0.0333898057120893
201,0.0100000219591867,0.0166089099433301
202,0.0100000219591867,0.0103313407978005
203,0.0100000219591867,0.0167123387906725
204,0.0100000219591867,0.0166167016097146
205,0.0100000219591867,0.0135112131692066
206,0.0100000219591867,0.0134653294623884
207,0.0100000219591867,0.00763433238910676
208,0.0100000219591867,0.00827762148357283
209,0.0100000219591867,0.0109922490644693
210,0.0100000219591867,0.0277631305287395
211,0.0100000219591867,0.0429013734038282
212,0.0100000219591867,0.0251357050867958
213,0.0100000219591867,0.0101246990397143
214,0.0100000219591867,0.012762674972938
215,0.0100000219591867,0.0108076232220744
216,0.0100000219591867,0.0174168313821423
217,0.0100000219591867,0.0303646402812826
218,0.0100000219591867,0.0364346907660751
219,0.0100000219591867,0.0170956892831623
220,0.0100000219591867,0.0117242790623415
221,0.0100000219591867,0.00658704602233394
222,0.0100000219591867,0.0100617784964505
223,0.0100000219591867,0.0205724322653385
224,0.0100000219591867,0.0374015192947686
225,0.0100000219591867,0.0531914561048333
226,0.0100000219591867,0.0271085118932513
227,0.0100000219591867,0.0105467858957825
228,0.0100000219591867,0.0196401500034689
229,0.0100000219591867,0.0209519561060802
230,0.0100000219591867,0.0123915256761084
231,0.0100000219591867,0.0185085594202105
232,0.0100000219591867,0.0120934960777898
233,0.0100000219591867,0.0155367984482
234,0.0100000219591867,0.0129661158682108
235,0.0100000219591867,0.0104221683758699
236,0.0100000219591867,0.0164045345691025
237,0.0100000219591867,0.0156082311866373
238,0.0100000219591867,0.0293540339282642
239,0.0100000219591867,0.0166269226306956
240,0.0100000219591867,0.0063554541102816
241,0.0100000219591867,0.0162325054121329
242,0.0100000219591867,0.0337857860864179
243,0.0100000219591867,0.0171933675972671
244,0.0100000219591867,0.00536229451391562
245,0.0100000219591867,0.00842294749071481
246,0.0100000109795873,0.0121162061363547
247,0.0100054034133288,0.0183361273988719
248,0.0100000109795873,0.0106245366098273
249,0.0100988958060148,0.00643962914033578
250,0.0103843167272266,0.0120773537134261
251,0.0100000109795873,0.00705120993595894
252,0.0100152622734698,0.00782444030683487
253,0.0100000109795873,0.017388454803609
254,0.0100000219591867,0.0228467198542237
255,0.0100000219591867,0.0253331928724972
256,0.0100000219591867,0.0147961456479094
257,0.0100000219591867,0.011398723207796
258,0.0100000219591867,0.0173325532685377
259,0.0100000219591867,0.0153231420620446
260,0.0100000219591867,0.0151708592697335
261,0.0100000219591867,0.00924662729742654
262,0.0100000219591867,0.00655349261037574
263,0.0100000219591867,0.0100782478736365
264,0.0100000219591867,0.0185500374370318
265,0.0100000219591867,0.0405067858206284
266,0.0100000219591867,0.034076665933249
267,0.0100000219591867,0.0224991802681389
268,0.0100000219591867,0.00988596644177579
269,0.0100000219591867,0.00541745549778192
270,0.0100000109795873,0.00423362198133942
271,0.0100516601559421,0.00421168512806851
272,0.0100000109795873,0.00775171024186087
273,0.0120257447184371,0.00458667156984146
274,0.0101637917826243,0.00415562214823472
275,0.0100000109795873,0.0075549640817716
276,0.0100000109795873,0.00518627686589359
277,0.0107421618140547,0.0362427076145216
278,0.0100000109795873,0.0187085244217419
279,0.0100077545895433,0.0217414316485209
280,0.0100034152328494,0.0119606445252986
281,0.0100000109795873,0.0100900700836336
282,0.0102334970979142,0.00885785845651827
283,0.0104975541443259,0.0150522131463015
284,0.0117922484971842,0.00799596208557938
285,0.0198882195370404,0.0066782714677344
286,0.0100000109795873,0.00541744954964586
287,0.0101512117510704,0.00651279130349461
288,0.0105589468905757,0.00395661941200144
289,0.0143213803358136,0.00456572176840229
290,0.0135736941462593,0.00301095097739211
291,0.0101082252592577,0.00283527664105322
292,0.0100000109795873,0.0037908437678704
293,0.0101609353731114,0.0035941247756944
294,0.0100000109795873,0.00231247438051397
295,0.0174013691350375,0.00417077717605902
296,0.0145624588343441,0.00692052391161355
297,0.0106690503072082,0.00384696176535463
298,0.0151220520726368,0.00571242294671594
299,0.0103916048708452,0.00408951546888387
300,0.0148134008065703,0.00616112099064932
301,0.0113333547330424,0.0123312843310057
302,0.0100000109795873,0.0206603095890791
303,0.0102774338305097,0.0124152252679192
304,0.0100000109795873,0.00627361152131821
305,0.0219758724143823,0.00669226858610509
306,0.0116197682883159,0.00273713159500275
307,0.0100000109795873,0.00307181673059895
308,0.0179044964953783,0.00592949396888798
309,0.0120217050452418,0.00594536911089242
310,0.0104176969787552,0.00261956573461476
311,0.0211401493564835,0.00463641745027944
312,0.0164629595715758,0.00321782509010428
313,0.0188304569477944,0.00812954123727972
314,0.0144691119031022,0.0103081612408313
315,0.010967405786199,0.00427583911857954
316,0.0155666591269861,0.0041238044046845
317,0.0100000109795873,0.00386671240024542
318,0.0138213092031586,0.00355937623744042
319,0.0239046998732927,0.00451457378244931
320,0.0186046851975938,0.00303237628949811
321,0.0236962468538086,0.00283263737371404
322,0.025739448165522,0.00376775478496043
323,0.0143555742192803,0.00198824846171822
324,0.0247040085720608,0.00274002304753402
325,0.0230102738465371,0.00451648691155832
326,0.0219579521841264,0.00316173870091502
327,0.0430501856839644,0.00747160104241505
328,0.024041360125003,0.00654470238571087
329,0.0325994875702602,0.00451659404855791
330,0.0515615601546825,0.00283466390874097
331,0.0582144583408097,0.00345335688659962
